raythru1	1
extendray1	1
raythru2	1
extendray2	1
raythru3	1
extendray3	1
raythru4	1
extendray4	1
raythru5	1
extendray5	1
raythru6	1
extendray6	1
raythru7	1
extendray7	1
raythru8	1
extendray8	1
raythru9	1
extendray9	1
raythru10	1
extendray10	1
circle1	1
circle2	1
circle3	1
circle4	1
circle5	1
perpbisect1	1
perpbisect2	1
perpbisect3	1
perpbisect4	1
perpbisect5	1
intersection1	0
intersection2	0
intersection3	0
intersection4	0
intersection5	0
intersection6	0
intersection7	0
intersection8	0
intersection9	0
intersection10	0
intersection11	0
intersection12	0
intersection13	0
intersection14	0
intersection15	0
intersection16	0
intersection17	0
intersection18	0
intersection19	0
intersection20	0
intersection21	0
intersection22	0
intersection23	0
intersection24	0
intersection25	0
intersection26	0
intersection27	0
intersection28	0
intersection29	0
intersection30	0
intersection31	0
intersection32	0
intersection33	0
intersection34	0
intersection35	0
intersection36	0
intersection37	0
intersection38	0
intersection39	0
intersection40	0
intersection41	0
intersection42	0
intersection43	0
intersection44	0
intersection45	0
intersection46	0
intersection47	0
intersection48	0
intersection49	0
intersection50	0
intersection51	0
intersection52	0
intersection53	0
intersection54	0
intersection55	0
intersection56	0
intersection57	0
intersection58	0
intersection59	0
intersection60	0
intersection61	0
intersection62	0
intersection63	0
intersection64	0
intersection65	0
intersection66	0
intersection67	0
intersection68	0
intersection69	0
intersection70	0
intersection71	0
intersection72	0
intersection73	0
intersection74	0
intersection75	0
intersection76	0
intersection77	0
intersection78	0
intersection79	0
intersection80	0
intersection81	0
intersection82	0
intersection83	0
intersection84	0
intersection85	0
intersection86	0
intersection87	0
intersection88	0
intersection89	0
intersection90	0
intersection91	0
intersection92	0
intersection93	0
intersection94	0
intersection95	0
intersection96	0
intersection97	0
intersection98	0
intersection99	0
intersection100	0
